sample_id,source_name,source_type,page_type,page_width_mm,page_height_mm,spread_used,image_count,text_length_level,text_length_chars,has_title,has_subtitle,style_category,layout_family,pattern_id,image_arrangement,text_position,image_text_relation,hero_image_exists,hero_image_index,image_orientations,image_ratio_summary,reading_priority,visual_priority,white_space_level,alignment_type,grid_type,composition_axis,symmetry_level,rhythm_type,caption_used,overlay_text,body_column_count,body_position,title_position,main_image_position,secondary_image_position,overflow_strategy,why_this_layout_works,design_notes,quality_score
spread_011,Synthetic Visual Essay Spread 011,visual_essay,single_page,148,210,false,2,short,487,true,false,Magazine,balanced,hero_image_plus_secondary,hero_plus_secondary,below_secondary,hero_sets_focus_secondary_adds_context,true,1,portrait;landscape,mixed,medium,high,medium,left_aligned,modular_grid,vertical,asymmetric,dynamic,false,false,1,bottom_right,top_left,large_top_or_left,small_supporting_image,next_page,Creates hierarchy when one visual should dominate and the second supports it.,"Synthetic augmented example for hero_image_plus_secondary; use as LLM layout reference, not factual source.",4
spread_012,Synthetic Brand Case Study Layout 012,brand_case,spread,148,210,true,4,short,524,true,false,Editorial,balanced,grid_2x2_with_text,two_by_two_grid,below_grid,text_summarizes_image_set,false,,mixed,mixed,medium,medium,medium,grid_aligned,modular_grid,vertical,symmetric,stable,false,false,1,right_page,none,grid_area,grid_area,next_page,Reliable for multiple images with similar weight and a compact interpretive text block.,"Synthetic augmented example for grid_2x2_with_text; use as LLM layout reference, not factual source.",2
spread_013,Synthetic Culture Report Spread 013,culture_report,spread,148,210,true,4,short,561,false,true,Magazine,image-first,hero_plus_grid,hero_plus_grid,small_text_block,hero_leads_support_images_extend_story,true,1,landscape;portrait;square;portrait,mixed,low,high,low,grid_aligned,modular_grid,diagonal,asymmetric,dynamic,false,false,1,bottom_right,top_left,hero_large_area,support_grid,next_page,Dynamic layout for one strong visual supported by several smaller images.,"Synthetic augmented example for hero_plus_grid; use as LLM layout reference, not factual source.",4
spread_014,Synthetic Research Magazine Spread 014,research_report,spread,148,210,true,5,medium,2832,true,false,Magazine,balanced,gallery_with_text_block,adaptive_gallery_with_text,side_text,text_interprets_gallery,false,,mixed,mixed,medium,medium,medium,grid_aligned,adaptive_grid,horizontal,asymmetric,dynamic,false,false,1,right_page,none,gallery_area,gallery_area,next_page,Groups related images as a gallery while preserving a readable body text block.,"Synthetic augmented example for gallery_with_text_block; use as LLM layout reference, not factual source.",2
spread_015,Synthetic Image Text Composition 015,archive,single_page,148,210,false,6,medium,2945,true,false,Editorial,text-first,one_page_gallery_one_page_text,one_page_gallery_one_page_text,opposite_page_text,gallery_provides_evidence_for_text,true,1,landscape;landscape;portrait;portrait;square;square,mixed,high,medium,medium,left_aligned,two_page_modular,horizontal,asymmetric,stable,false,false,1,right_page,top_left,left_page_gallery,gallery_grid,next_page,Separates image viewing and text reading when both image count and text amount are high.,"Synthetic augmented example for one_page_gallery_one_page_text; use as LLM layout reference, not factual source.",2
spread_016,Synthetic Trend Report Reference 016,trend_report,spread,148,210,true,1,short,672,false,false,Magazine,image-first,single_full_page,one_large_image,opposite_page_short_text,image_sets_mood,true,1,landscape,tall,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,top_left,right_page_full,none,next_page,Best when a single strong image carries the mood and text remains minimal.,"Synthetic augmented example for single_full_page; use as LLM layout reference, not factual source.",4
spread_017,Synthetic Campaign Analysis Reference 017,campaign_report,spread,148,210,true,1,medium,3171,true,false,Editorial,balanced,single_page_with_text_below,image_above_text,below_image,text_explains_image,true,1,square,tall,medium,medium,high,left_aligned,single_column,vertical,semi_symmetric,stable,false,false,1,bottom_left,top_left,top_area,none,next_page,Stable one-page structure where the image is seen first and text explains it below.,"Synthetic augmented example for single_page_with_text_below; use as LLM layout reference, not factual source.",2
spread_018,Synthetic Exhibition Catalog Spread 018,exhibition_catalog,spread,148,210,true,1,long,4598,true,false,Exhibition Catalog,balanced,single_left_image_right_text,left_image_right_text,right_side,text_contextualizes_image,true,1,square,mixed,medium,medium,medium,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,right_page,none,left_page_large,none,next_page,Balances viewing and reading by separating image and body text across the spread.,"Synthetic augmented example for single_left_image_right_text; use as LLM layout reference, not factual source.",4
spread_019,Synthetic Magazine Feature Layout 019,magazine,single_page,148,210,false,1,long,4809,false,false,Editorial,text-first,single_left_text_right_image,left_text_right_image,left_page_text,image_supports_text,false,,landscape,wide,high,medium,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,left_page,top_left,right_page_large,none,next_page,Prioritizes reading order while preserving a strong supporting visual on the opposite page.,"Synthetic augmented example for single_left_text_right_image; use as LLM layout reference, not factual source.",2
spread_020,Synthetic Editorial Archive Layout 020,editorial,spread,148,210,true,2,short,820,true,true,Exhibition Catalog,image-first,two_equal_images,two_equal_images,small_text_below,images_compared_equally,false,,portrait;portrait,square_pair,low,high,medium,centered,two_column,horizontal,symmetric,stable,false,false,0,none,none,left_and_right_equal,none,next_page,Works when two visuals have equal importance and should be compared as a pair.,"Synthetic augmented example for two_equal_images; use as LLM layout reference, not factual source.",2
spread_021,Synthetic Visual Essay Spread 021,visual_essay,spread,148,210,true,2,medium,1523,true,false,Magazine,balanced,hero_image_plus_secondary,hero_plus_secondary,below_secondary,hero_sets_focus_secondary_adds_context,true,1,landscape;square,mixed,medium,high,medium,left_aligned,modular_grid,vertical,asymmetric,dynamic,false,false,1,bottom_right,top_left,large_top_or_left,small_supporting_image,next_page,Creates hierarchy when one visual should dominate and the second supports it.,"Synthetic augmented example for hero_image_plus_secondary; use as LLM layout reference, not factual source.",4
spread_022,Synthetic Brand Case Study Layout 022,brand_case,spread,148,210,true,4,medium,1636,false,false,Editorial,balanced,grid_2x2_with_text,two_by_two_grid,below_grid,text_summarizes_image_set,false,,landscape;landscape;square;square,mixed,medium,medium,medium,grid_aligned,modular_grid,vertical,symmetric,stable,false,false,1,right_page,none,grid_area,grid_area,next_page,Reliable for multiple images with similar weight and a compact interpretive text block.,"Synthetic augmented example for grid_2x2_with_text; use as LLM layout reference, not factual source.",2
spread_023,Synthetic Culture Report Spread 023,culture_report,single_page,148,210,false,4,medium,1749,true,false,Magazine,image-first,hero_plus_grid,hero_plus_grid,small_text_block,hero_leads_support_images_extend_story,true,1,portrait;landscape;square;square,mixed,low,high,low,grid_aligned,modular_grid,diagonal,asymmetric,dynamic,false,false,1,bottom_right,top_left,hero_large_area,support_grid,next_page,Dynamic layout for one strong visual supported by several smaller images.,"Synthetic augmented example for hero_plus_grid; use as LLM layout reference, not factual source.",4
spread_024,Synthetic Research Magazine Spread 024,research_report,spread,148,210,true,5,medium,1862,true,false,Magazine,balanced,gallery_with_text_block,adaptive_gallery_with_text,side_text,text_interprets_gallery,false,,mixed,mixed,medium,medium,medium,grid_aligned,adaptive_grid,horizontal,asymmetric,dynamic,false,false,1,right_page,none,gallery_area,gallery_area,next_page,Groups related images as a gallery while preserving a readable body text block.,"Synthetic augmented example for gallery_with_text_block; use as LLM layout reference, not factual source.",2
spread_025,Synthetic Image Text Composition 025,archive,spread,148,210,true,6,long,6075,false,false,Editorial,text-first,one_page_gallery_one_page_text,one_page_gallery_one_page_text,opposite_page_text,gallery_provides_evidence_for_text,true,1,landscape;landscape;portrait;portrait;square;square,mixed,high,medium,medium,left_aligned,two_page_modular,horizontal,asymmetric,stable,false,false,1,right_page,top_left,left_page_gallery,gallery_grid,next_page,Separates image viewing and text reading when both image count and text amount are high.,"Synthetic augmented example for one_page_gallery_one_page_text; use as LLM layout reference, not factual source.",2
spread_026,Synthetic Trend Report Reference 026,trend_report,spread,148,210,true,1,short,142,true,false,Magazine,image-first,single_full_page,one_large_image,opposite_page_short_text,image_sets_mood,true,1,portrait,square,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,top_left,right_page_full,none,next_page,Best when a single strong image carries the mood and text remains minimal.,"Synthetic augmented example for single_full_page; use as LLM layout reference, not factual source.",4
spread_027,Synthetic Campaign Analysis Reference 027,campaign_report,single_page,148,210,false,1,short,179,true,true,Editorial,balanced,single_page_with_text_below,image_above_text,below_image,text_explains_image,true,1,portrait,wide,medium,medium,high,left_aligned,single_column,vertical,semi_symmetric,stable,false,false,1,bottom_left,top_left,top_area,none,next_page,Stable one-page structure where the image is seen first and text explains it below.,"Synthetic augmented example for single_page_with_text_below; use as LLM layout reference, not factual source.",2
spread_028,Synthetic Exhibition Catalog Spread 028,exhibition_catalog,spread,148,210,true,1,medium,2314,false,false,Exhibition Catalog,balanced,single_left_image_right_text,left_image_right_text,right_side,text_contextualizes_image,true,1,portrait,tall,medium,medium,medium,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,right_page,none,left_page_large,none,next_page,Balances viewing and reading by separating image and body text across the spread.,"Synthetic augmented example for single_left_image_right_text; use as LLM layout reference, not factual source.",4
spread_029,Synthetic Magazine Feature Layout 029,magazine,spread,148,210,true,1,medium,2427,true,false,Editorial,text-first,single_left_text_right_image,left_text_right_image,left_page_text,image_supports_text,false,,landscape,tall,high,medium,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,left_page,top_left,right_page_large,none,next_page,Prioritizes reading order while preserving a strong supporting visual on the opposite page.,"Synthetic augmented example for single_left_text_right_image; use as LLM layout reference, not factual source.",2
spread_030,Synthetic Editorial Archive Layout 030,editorial,spread,148,210,true,2,short,290,true,false,Exhibition Catalog,image-first,two_equal_images,two_equal_images,small_text_below,images_compared_equally,false,,square;square,wide_pair,low,high,medium,centered,two_column,horizontal,symmetric,stable,false,false,0,none,none,left_and_right_equal,none,next_page,Works when two visuals have equal importance and should be compared as a pair.,"Synthetic augmented example for two_equal_images; use as LLM layout reference, not factual source.",2
spread_031,Synthetic Visual Essay Spread 031,visual_essay,single_page,148,210,false,2,short,327,false,false,Magazine,balanced,hero_image_plus_secondary,hero_plus_secondary,below_secondary,hero_sets_focus_secondary_adds_context,true,1,landscape;portrait,mixed,medium,high,medium,left_aligned,modular_grid,vertical,asymmetric,dynamic,false,false,1,bottom_right,top_left,large_top_or_left,small_supporting_image,next_page,Creates hierarchy when one visual should dominate and the second supports it.,"Synthetic augmented example for hero_image_plus_secondary; use as LLM layout reference, not factual source.",4
spread_032,Synthetic Brand Case Study Layout 032,brand_case,spread,148,210,true,4,short,364,true,false,Editorial,balanced,grid_2x2_with_text,two_by_two_grid,below_grid,text_summarizes_image_set,false,,portrait;portrait;portrait;portrait,mixed,medium,medium,medium,grid_aligned,modular_grid,vertical,symmetric,stable,false,false,1,right_page,none,grid_area,grid_area,next_page,Reliable for multiple images with similar weight and a compact interpretive text block.,"Synthetic augmented example for grid_2x2_with_text; use as LLM layout reference, not factual source.",2
spread_033,Synthetic Culture Report Spread 033,culture_report,spread,148,210,true,4,short,401,true,false,Magazine,image-first,hero_plus_grid,hero_plus_grid,small_text_block,hero_leads_support_images_extend_story,true,1,mixed,mixed,low,high,low,grid_aligned,modular_grid,diagonal,asymmetric,dynamic,false,false,1,bottom_right,top_left,hero_large_area,support_grid,next_page,Dynamic layout for one strong visual supported by several smaller images.,"Synthetic augmented example for hero_plus_grid; use as LLM layout reference, not factual source.",4
spread_034,Synthetic Research Magazine Spread 034,research_report,spread,148,210,true,5,medium,2992,false,true,Magazine,balanced,gallery_with_text_block,adaptive_gallery_with_text,side_text,text_interprets_gallery,false,,mixed,mixed,medium,medium,medium,grid_aligned,adaptive_grid,horizontal,asymmetric,dynamic,false,false,1,right_page,none,gallery_area,gallery_area,next_page,Groups related images as a gallery while preserving a readable body text block.,"Synthetic augmented example for gallery_with_text_block; use as LLM layout reference, not factual source.",2
spread_035,Synthetic Image Text Composition 035,archive,single_page,148,210,false,6,medium,3105,true,false,Editorial,text-first,one_page_gallery_one_page_text,one_page_gallery_one_page_text,opposite_page_text,gallery_provides_evidence_for_text,true,1,landscape;landscape;portrait;portrait;square;square,mixed,high,medium,medium,left_aligned,two_page_modular,horizontal,asymmetric,stable,false,false,1,right_page,top_left,left_page_gallery,gallery_grid,next_page,Separates image viewing and text reading when both image count and text amount are high.,"Synthetic augmented example for one_page_gallery_one_page_text; use as LLM layout reference, not factual source.",2
spread_036,Synthetic Trend Report Reference 036,trend_report,spread,148,210,true,1,short,512,true,false,Magazine,image-first,single_full_page,one_large_image,opposite_page_short_text,image_sets_mood,true,1,square,wide,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,top_left,right_page_full,none,next_page,Best when a single strong image carries the mood and text remains minimal.,"Synthetic augmented example for single_full_page; use as LLM layout reference, not factual source.",4
spread_037,Synthetic Campaign Analysis Reference 037,campaign_report,spread,148,210,true,1,medium,3331,false,false,Editorial,balanced,single_page_with_text_below,image_above_text,below_image,text_explains_image,true,1,landscape,square,medium,medium,high,left_aligned,single_column,vertical,semi_symmetric,stable,false,false,1,bottom_left,top_left,top_area,none,next_page,Stable one-page structure where the image is seen first and text explains it below.,"Synthetic augmented example for single_page_with_text_below; use as LLM layout reference, not factual source.",2
spread_038,Synthetic Exhibition Catalog Spread 038,exhibition_catalog,spread,148,210,true,1,long,6018,true,false,Exhibition Catalog,balanced,single_left_image_right_text,left_image_right_text,right_side,text_contextualizes_image,true,1,landscape,wide,medium,medium,medium,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,right_page,none,left_page_large,none,next_page,Balances viewing and reading by separating image and body text across the spread.,"Synthetic augmented example for single_left_image_right_text; use as LLM layout reference, not factual source.",4
spread_039,Synthetic Magazine Feature Layout 039,magazine,single_page,148,210,false,1,long,6229,true,false,Editorial,text-first,single_left_text_right_image,left_text_right_image,left_page_text,image_supports_text,false,,landscape,mixed,high,medium,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,left_page,top_left,right_page_large,none,next_page,Prioritizes reading order while preserving a strong supporting visual on the opposite page.,"Synthetic augmented example for single_left_text_right_image; use as LLM layout reference, not factual source.",2
spread_040,Synthetic Editorial Archive Layout 040,editorial,spread,148,210,true,2,short,660,false,false,Exhibition Catalog,image-first,two_equal_images,two_equal_images,small_text_below,images_compared_equally,false,,landscape;landscape,tall_pair,low,high,medium,centered,two_column,horizontal,symmetric,stable,false,false,0,none,none,left_and_right_equal,none,next_page,Works when two visuals have equal importance and should be compared as a pair.,"Synthetic augmented example for two_equal_images; use as LLM layout reference, not factual source.",2
spread_041,Synthetic Visual Essay Spread 041,visual_essay,spread,148,210,true,2,medium,1683,true,true,Magazine,balanced,hero_image_plus_secondary,hero_plus_secondary,below_secondary,hero_sets_focus_secondary_adds_context,true,1,portrait;landscape,mixed,medium,high,medium,left_aligned,modular_grid,vertical,asymmetric,dynamic,false,false,1,bottom_right,top_left,large_top_or_left,small_supporting_image,next_page,Creates hierarchy when one visual should dominate and the second supports it.,"Synthetic augmented example for hero_image_plus_secondary; use as LLM layout reference, not factual source.",4
spread_042,Synthetic Brand Case Study Layout 042,brand_case,spread,148,210,true,4,medium,1796,true,false,Editorial,balanced,grid_2x2_with_text,two_by_two_grid,below_grid,text_summarizes_image_set,false,,mixed,mixed,medium,medium,medium,grid_aligned,modular_grid,vertical,symmetric,stable,false,false,1,right_page,none,grid_area,grid_area,next_page,Reliable for multiple images with similar weight and a compact interpretive text block.,"Synthetic augmented example for grid_2x2_with_text; use as LLM layout reference, not factual source.",2
spread_043,Synthetic Culture Report Spread 043,culture_report,single_page,148,210,false,4,medium,1909,false,false,Magazine,image-first,hero_plus_grid,hero_plus_grid,small_text_block,hero_leads_support_images_extend_story,true,1,landscape;portrait;square;portrait,mixed,low,high,low,grid_aligned,modular_grid,diagonal,asymmetric,dynamic,false,false,1,bottom_right,top_left,hero_large_area,support_grid,next_page,Dynamic layout for one strong visual supported by several smaller images.,"Synthetic augmented example for hero_plus_grid; use as LLM layout reference, not factual source.",4
spread_044,Synthetic Research Magazine Spread 044,research_report,spread,148,210,true,5,medium,2022,true,false,Magazine,balanced,gallery_with_text_block,adaptive_gallery_with_text,side_text,text_interprets_gallery,false,,mixed,mixed,medium,medium,medium,grid_aligned,adaptive_grid,horizontal,asymmetric,dynamic,false,false,1,right_page,none,gallery_area,gallery_area,next_page,Groups related images as a gallery while preserving a readable body text block.,"Synthetic augmented example for gallery_with_text_block; use as LLM layout reference, not factual source.",2
spread_045,Synthetic Image Text Composition 045,archive,spread,148,210,true,6,long,4695,true,false,Editorial,text-first,one_page_gallery_one_page_text,one_page_gallery_one_page_text,opposite_page_text,gallery_provides_evidence_for_text,true,1,landscape;landscape;portrait;portrait;square;square,mixed,high,medium,medium,left_aligned,two_page_modular,horizontal,asymmetric,stable,false,false,1,right_page,top_left,left_page_gallery,gallery_grid,next_page,Separates image viewing and text reading when both image count and text amount are high.,"Synthetic augmented example for one_page_gallery_one_page_text; use as LLM layout reference, not factual source.",2
spread_046,Synthetic Trend Report Reference 046,trend_report,spread,148,210,true,1,short,882,false,false,Magazine,image-first,single_full_page,one_large_image,opposite_page_short_text,image_sets_mood,true,1,landscape,tall,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,top_left,right_page_full,none,next_page,Best when a single strong image carries the mood and text remains minimal.,"Synthetic augmented example for single_full_page; use as LLM layout reference, not factual source.",4
spread_047,Synthetic Campaign Analysis Reference 047,campaign_report,single_page,148,210,false,1,short,919,true,false,Editorial,balanced,single_page_with_text_below,image_above_text,below_image,text_explains_image,true,1,square,tall,medium,medium,high,left_aligned,single_column,vertical,semi_symmetric,stable,false,false,1,bottom_left,top_left,top_area,none,next_page,Stable one-page structure where the image is seen first and text explains it below.,"Synthetic augmented example for single_page_with_text_below; use as LLM layout reference, not factual source.",2
spread_048,Synthetic Exhibition Catalog Spread 048,exhibition_catalog,spread,148,210,true,1,medium,2474,true,true,Exhibition Catalog,balanced,single_left_image_right_text,left_image_right_text,right_side,text_contextualizes_image,true,1,square,mixed,medium,medium,medium,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,right_page,none,left_page_large,none,next_page,Balances viewing and reading by separating image and body text across the spread.,"Synthetic augmented example for single_left_image_right_text; use as LLM layout reference, not factual source.",4
spread_049,Synthetic Magazine Feature Layout 049,magazine,spread,148,210,true,1,medium,2587,false,false,Editorial,text-first,single_left_text_right_image,left_text_right_image,left_page_text,image_supports_text,false,,landscape,wide,high,medium,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,1,left_page,top_left,right_page_large,none,next_page,Prioritizes reading order while preserving a strong supporting visual on the opposite page.,"Synthetic augmented example for single_left_text_right_image; use as LLM layout reference, not factual source.",2
spread_050,Synthetic Editorial Archive Layout 050,editorial,spread,148,210,true,2,short,130,true,false,Exhibition Catalog,image-first,two_equal_images,two_equal_images,small_text_below,images_compared_equally,false,,portrait;portrait,square_pair,low,high,medium,centered,two_column,horizontal,symmetric,stable,false,false,0,none,none,left_and_right_equal,none,next_page,Works when two visuals have equal importance and should be compared as a pair.,"Synthetic augmented example for two_equal_images; use as LLM layout reference, not factual source.",2
spread_051,Synthetic Gallery Spread 051,archive,spread,148,210,true,1,short,258,true,true,Magazine,image-first,single_full_page,opposite_title_full_image,opposite_page_title,image_sets_mood,true,1,square,square,low,high,high,left_aligned,two_column,horizontal,asymmetric,stable,false,false,0,none,left_page_center,right_page_full,none,next_page,single_full_page suits 1 image(s) with short text because it keeps visual impact while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",4
spread_052,Synthetic Gallery Spread 052,trend_report,spread,148,210,true,1,medium,2757,true,false,Editorial,balanced,single_page_with_text_below,image_above_text,bottom_area,image_introduces_text,true,1,portrait,tall,medium,medium,medium,left_aligned,modular_grid,vertical,asymmetric,stable,false,false,1,bottom_left,top_left,top_area,none,next_page,single_page_with_text_below suits 1 image(s) with medium text because it keeps image-text balance while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",2
spread_053,Synthetic Magazine Spread 053,editorial,spread,148,210,true,1,medium,2717,true,false,Exhibition Catalog,balanced,single_left_image_right_text,image_page_text_page,right_page_text,text_interprets_image,true,1,landscape,wide,medium,medium,medium,left_aligned,spread_split,horizontal,semi_symmetric,stable,false,false,1,right_page,top_right,left_page_full,none,next_page,single_left_image_right_text suits 1 image(s) with medium text because it keeps image-text balance while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",2
spread_054,Synthetic Magazine Spread 054,editorial,spread,148,210,true,1,long,6185,false,false,Editorial,text-first,single_left_text_right_image,text_page_image_page,left_of_image,image_as_evidence,false,,landscape,wide,high,medium,medium,left_aligned,spread_split,horizontal,asymmetric,quiet,false,false,1,left_page,none,right_page_full,none,next_page,single_left_text_right_image suits 1 image(s) with long text because it keeps reading flow while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",1
spread_055,Synthetic Gallery Spread 055,exhibition_catalog,spread,148,210,true,2,short,861,false,false,Magazine,image-first,two_equal_images,paired_images,none,parallel_examples,false,,portrait;portrait,tall,low,high,medium,grid_aligned,spread_split,horizontal,semi_symmetric,paired,false,false,0,bottom_center,none,left_and_right_pages,equal_pair,next_page,two_equal_images suits 2 image(s) with short text because it keeps visual impact while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",4
spread_056,Synthetic Research Booklet 056,brand_case,spread,148,210,true,2,short,81,true,false,Magazine,balanced,hero_image_plus_secondary,hero_plus_secondary,right_lower,hero_leads_support_explains,true,1,landscape;landscape,wide,medium,high,medium,left_aligned,modular_grid,horizontal,asymmetric,dynamic,false,false,1,bottom_right,top_left,left_large,lower_right,next_page,hero_image_plus_secondary suits 2 image(s) with short text because it keeps image-text balance while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",4
spread_057,Synthetic Exhibition Catalog 057,archive,spread,148,210,true,3,medium,2477,false,false,Editorial,balanced,grid_2x2_with_text,modular_image_grid,right_page_text,images_as_grouped_evidence,false,,landscape;landscape;square,mixed,medium,high,medium,grid_aligned,modular_grid,vertical,semi_symmetric,stable,false,false,1,right_page,none,grid_area,grid,next_page,grid_2x2_with_text suits 3 image(s) with medium text because it keeps image-text balance while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",4
spread_058,Synthetic Gallery Spread 058,report,spread,148,210,true,3,short,567,false,false,Magazine,image-first,hero_plus_grid,large_image_with_small_grid,small_text_below_grid,support_images_extend_story,true,1,landscape;portrait;square,mixed,low,high,low,grid_aligned,hero_grid,vertical,asymmetric,dynamic,false,false,1,right_page,none,top_large,support_grid,next_page,hero_plus_grid suits 3 image(s) with short text because it keeps visual impact while maintaining separated image and text areas.,"Synthetic augmented reference for LLM layout planning; use as structured design example, not as real publication evidence.",2
